Week,Start_Date,End_Date,Start_Close,End_Close,Trading_Days,Total_Volume,article_count,positive_count,negative_count,Period_Return_pct,Mean_Sentiment
2025-01-25/2025-01-31,2025-01-27,2025-01-31,397.1499938964844,404.6000061035156,5,356446300,9.0,2.0,3.0,1.8758686444731776,-0.11595393551720513
2025-02-01/2025-02-07,2025-02-03,2025-02-07,383.67999267578125,361.6199951171875,5,356244100,10.0,0.0,5.0,-5.749582459264424,-0.42694197297096254
2025-02-08/2025-02-14,2025-02-10,2025-02-14,350.7300109863281,355.8399963378906,5,459159800,11.0,0.0,6.0,1.4569569730266574,-0.45404987985437567
2025-02-15/2025-02-21,2025-02-18,2025-02-21,354.1099853515625,337.79998779296875,4,238750100,8.0,1.0,1.0,-4.605912917818767,-0.03122202306985855
2025-02-22/2025-02-28,2025-02-24,2025-02-28,330.5299987792969,292.9800109863281,5,527844600,9.0,1.0,7.0,-11.360538508349382,-0.626137720213996
2025-03-01/2025-03-07,2025-03-03,2025-03-07,284.6499938964844,262.6700134277344,5,537122100,11.0,0.0,8.0,-7.721756873370323,-0.6590707139535383
2025-03-08/2025-03-14,2025-03-10,2025-03-14,222.14999389648438,249.97999572753906,5,721244800,11.0,0.0,7.0,12.527572629159135,-0.5400972312146967
2025-03-15/2025-03-21,2025-03-17,2025-03-21,238.00999450683594,248.7100067138672,5,567129000,11.0,0.0,7.0,4.495614660721281,-0.49271005392074585
2025-03-22/2025-03-28,2025-03-24,2025-03-28,278.3900146484375,263.54998779296875,5,759452700,12.0,2.0,4.0,-5.330660610873328,-0.1575194795926412
2025-03-29/2025-04-04,2025-03-31,2025-04-04,259.1600036621094,239.42999267578125,5,810687300,11.0,0.0,8.0,-7.6130617022416525,-0.6691656871275469
2025-04-05/2025-04-11,2025-04-07,2025-04-11,233.2899932861328,252.30999755859375,5,885161400,10.0,1.0,4.0,8.152944755385505,-0.33314023315906527
2025-04-12/2025-04-18,2025-04-14,2025-04-17,252.35000610351562,241.3699951171875,4,375513000,7.0,2.0,0.0,-4.351103911534704,0.15327795488493784
2025-04-19/2025-04-25,2025-04-21,2025-04-25,227.5,284.95001220703125,5,631033300,11.0,1.0,4.0,25.252752618475284,-0.2904229082844474
2025-04-26/2025-05-02,2025-04-28,2025-05-02,285.8800048828125,287.2099914550781,5,603713200,10.0,1.0,1.0,0.4652254615746143,-0.004073953628540039
2025-05-03/2025-05-09,2025-05-05,2025-05-09,280.260009765625,298.260009765625,5,472854500,10.0,0.0,5.0,6.422607354881982,-0.4003524363040924
2025-05-10/2025-05-16,2025-05-12,2025-05-16,318.3800048828125,349.9800109863281,5,580594900,10.0,2.0,2.0,9.925248325549463,-0.013325607776641846
2025-05-17/2025-05-23,2025-05-19,2025-05-23,342.0899963378906,339.3399963378906,5,504708400,9.0,3.0,0.0,-0.80388202795727,0.2829730047119988
2025-05-24/2025-05-30,2025-05-27,2025-05-30,362.8900146484375,346.4599914550781,4,423113400,8.0,2.0,2.0,-4.527548990091812,0.01570870727300644
2025-05-31/2025-06-06,2025-06-02,2025-06-06,342.69000244140625,295.1400146484375,5,732357900,12.0,2.0,5.0,-13.875510652254563,-0.19471764316161475
2025-06-07/2025-06-13,2025-06-09,2025-06-13,308.5799865722656,325.30999755859375,5,648868600,10.0,1.0,4.0,5.421612455223235,-0.24235472679138184
2025-06-14/2025-06-20,2025-06-16,2025-06-20,329.1300048828125,322.1600036621094,4,376034300,10.0,0.0,4.0,-2.117704590070668,-0.32068143486976625
2025-06-21/2025-06-27,2025-06-23,2025-06-27,348.67999267578125,323.6300048828125,5,594806000,11.0,2.0,4.0,-7.184234346437357,-0.18074385686354202
2025-06-28/2025-07-04,2025-06-30,2025-07-03,317.6600036621094,315.3500061035156,4,399306800,9.0,0.0,6.0,-0.7271918189143078,-0.6387727724181281
2025-07-05/2025-07-11,2025-07-07,2025-07-11,293.94000244140625,313.510009765625,5,493613100,10.0,1.0,6.0,6.657823760520598,-0.4669435203075409
2025-07-12/2025-07-18,2025-07-14,2025-07-18,316.8999938964844,329.6499938964844,5,421062400,11.0,2.0,1.0,4.023351292384314,0.04183946414427324
2025-07-19/2025-07-25,2025-07-21,2025-07-25,328.489990234375,316.05999755859375,5,550886000,10.0,1.0,3.0,-3.783979130357229,-0.20756542086601257
2025-07-26/2025-08-01,2025-07-28,2025-08-01,325.5899963378906,302.6300048828125,5,458356900,10.0,2.0,6.0,-7.051811085513426,-0.3752534031867981
2025-08-02/2025-08-08,2025-08-04,2025-08-08,309.260009765625,329.6499938964844,5,373027800,12.0,1.0,3.0,6.593152521178558,-0.17736140390237173
2025-08-09/2025-08-15,2025-08-11,2025-08-15,339.0299987792969,330.55999755859375,5,403001700,11.0,0.0,4.0,-2.4983043539509753,-0.2868048006838018
2025-08-16/2025-08-22,2025-08-18,2025-08-22,335.1600036621094,340.010009765625,5,360155100,9.0,2.0,2.0,1.4470718613564415,-0.02679921521080865
2025-08-23/2025-08-29,2025-08-25,2025-08-29,346.6000061035156,333.8699951171875,5,377889500,12.0,2.0,5.0,-3.6728248015454934,-0.25820184250672656
2025-08-30/2025-09-05,2025-09-02,2025-09-05,329.3599853515625,350.8399963378906,4,316826100,7.0,2.0,1.0,6.521742756151783,0.12436459745679583
2025-09-06/2025-09-12,2025-09-08,2025-09-12,346.3999938964844,395.94000244140625,5,473058400,9.0,1.0,3.0,14.301388400060432,-0.20498003562291464
2025-09-13/2025-09-19,2025-09-15,2025-09-19,410.0400085449219,426.07000732421875,5,557828400,12.0,3.0,1.0,3.9093743159798855,0.14162835975488028
2025-09-20/2025-09-26,2025-09-22,2025-09-26,434.2099914550781,440.3999938964844,5,472039700,9.0,4.0,3.0,1.4255780758666958,0.12057244777679443
2025-09-27/2025-10-03,2025-09-29,2025-10-03,443.2099914550781,429.8299865722656,5,522169000,9.0,2.0,1.0,-3.0188861128525923,0.132167120774587
2025-10-04/2025-10-10,2025-10-06,2025-10-10,453.25,413.489990234375,5,440260900,10.0,2.0,1.0,-8.772202926778816,0.055411458015441895
2025-10-11/2025-10-17,2025-10-13,2025-10-17,435.8999938964844,439.30999755859375,5,390301900,6.0,0.0,4.0,0.7822903670237746,-0.4858938852945964
2025-10-18/2025-10-24,2025-10-20,2025-10-24,447.42999267578125,433.7200012207031,5,423592300,10.0,0.0,6.0,-3.064164602173358,-0.448294797539711
2025-10-25/2025-10-31,2025-10-27,2025-10-31,452.4200134277344,456.55999755859375,5,409620400,11.0,1.0,5.0,0.9150753742065865,-0.312078058719635
2025-11-01/2025-11-07,2025-11-03,2025-11-07,468.3699951171875,429.5199890136719,5,471019200,10.0,3.0,0.0,-8.29472564607715,0.21094688177108764
2025-11-08/2025-11-14,2025-11-10,2025-11-14,445.2300109863281,404.3500061035156,5,420017300,10.0,1.0,3.0,-9.181772089498208,-0.2067839562892914
2025-11-15/2025-11-21,2025-11-17,2025-11-21,408.9200134277344,391.0899963378906,5,468960000,8.0,1.0,3.0,-4.360270102797193,-0.17963171750307083
2025-11-22/2025-11-28,2025-11-24,2025-11-28,417.7799987792969,430.1700134277344,4,268437900,10.0,4.0,2.0,2.9656792294125323,0.1566370904445648
2025-11-29/2025-12-05,2025-12-01,2025-12-05,430.1400146484375,455.0,5,342617200,10.0,1.0,4.0,5.779510044393588,-0.2191317856311798
2025-12-06/2025-12-12,2025-12-08,2025-12-12,439.5799865722656,458.9599914550781,5,346426900,11.0,2.0,3.0,4.408755055918934,-0.09965957294810902
2025-12-13/2025-12-19,2025-12-15,2025-12-19,475.30999755859375,481.20001220703125,5,527114500,9.0,4.0,2.0,1.2391943528836435,0.2360529104868571
2025-12-20/2025-12-26,2025-12-22,2025-12-26,488.7300109863281,475.19000244140625,4,245205800,10.0,1.0,2.0,-2.7704475355618485,-0.0687911033630371
2025-12-27/2026-01-02,2025-12-29,2025-12-29,459.6400146484375,459.6400146484375,1,66263000,3.0,0.0,1.0,0.0,-0.31332361698150635
